PROD_ID,SET_NAME,PROD_DESC,REVIEW_DIFFICULTY,PIECE_COUNT,STAR_RATING,LIST_PRICE,THEME_NAME,AGE_GROUP_CODE,COUNTRY_NAME,COUNTRY_CODE
60312,Police Car,City police car with minifigure,Easy,94,4.5,9.99,City,8,United States,USA
75300,Imperial TIE Fighter,Classic TIE Fighter starship,Medium,432,4.7,44.99,Star Wars,9-12,United States,USA
42141,McLaren Formula 1,Advanced Technic F1 car,Hard,1432,4.6,199.99,Technic,18+,Deutschland,DEU
41703,Friendship Tree House,Colorful tree house with friends,Medium,1114,4.8,79.99,Friends,9-12,France,FRA
76389,Hogwarts Chamber of Secrets,Iconic location from HP,Medium,1176,4.7,129.99,Harry Potter,9-12,España,ESP
31129,Majestic Tiger,3-in-1 tiger, koi, or panda,Medium,755,4.6,49.99,Creator 3-in-1,9-12,Brasil,BRA
71767,Ninja Dojo Temple,NINJAGO temple playset,Medium,1394,4.5,99.99,NINJAGO,9-12,México,MEX
75301,Luke Skywalker's X-Wing,Rebel Alliance starfighter,Medium,474,4.7,49.99,Star Wars,9-12,Japan,JPN
60320,Fire Station,City fire station with fire engine,Easy,540,4.4,69.99,City,6-8,United States,USA
42154,2022 Ford GT,Technic supercar replica,Hard,1466,4.6,119.99,Technic,18+,Deutschland,DEU
41731,Heartlake International School,Big school with classrooms,Medium,985,4.5,99.99,Friends,9-12,France,FRA
31118,Surfer Beach House,3-in-1 beachside house,Easy,564,4.3,49.99,Creator 3-in-1,6-8,Brasil,BRA
